plural,male,female,title,male_eng,female_eng,male_cnt,female_cnt
Абаза,Абаза,Абаза,2,abaza,abaza,412,412
Абакумовы,Абакумов,Абакумова,1,abakumov,abakumova,7187,8511
Абамелики,Абамелики,Абамелики,5,abameliki,abameliki,-,-
Абамелик,Абамелик,Абамелик,5,abamelik,abamelik,2,2
Абиецкие,Абиецкий,Абиецкая,1,abietsky,abietskaya,-,-
Абловы,Аблов,Аблова,6,ablov,ablova,177,244
Абрамовы,Абрамов,Абрамова,2,abramov,abramova,81978,94995
Абрамовичи-Барановские,Абрамович-Барановский,Абрамович-Барановская,2,abramovich-baranovsky,abramovich-baranovskaya,-,-
Абросимовы,Абросимов,Абросимова,3,abrosimov,abrosimova,13839,14920
Абулаевы,Абулаев,Абулаева,4,abulaev,abulaeva,34,19
Абуховские,Абуховский,Абуховская,2,abukhovsky,abukhovskaya,12,8
Авакаров,Авакаров,Авакарова,2,avakarov,avakarova,-,-
Аввакумовы,Аввакумов,Аввакумова,1,avvakumov,avvakumova,2767,2856
Авакумовы,Авакумов,Авакумова,1,avakumov,avakumova,232,247
Авдуловы,Авдулов,Авдулова,2,avdulov,avdulova,239,202
Аверкиевы,Аверкиев,Аверкиева,2,averkiev,averkieva,2212,2586
Аверьяновы,Аверьянов,Аверьянова,2,averyanov,averyanova,12622,13126
Авловы,Авлов,Авлова,2,avlov,avlova,87,135
Аврамовы,Аврамов,Аврамова,2,avramov,avramova,1018,883
Агаповы,Агапов,Агапова,3,agapov,agapova,16612,19177
Агафоновы,Агафонов,Агафонова,3,agafonov,agafonova,33563,40067
Агеевы,Агеев,Агеева,3,ageev,ageeva,24003,26669
Агентовы,Агентов,Агентова,2,agentov,agentova,83,50
Аграновские,Аграновский,Аграновская,3,agranovsky,agranovskaya,104,155
Агреневы,Агренев,Агренева,3,agrenev,agreneva,10,1
Адами,Адами,Адами,3,adami,adami,16,16
Адамс,Адамс,Адамс,3,adams,adams,990,990
Адлер,Адлер,Адлер,2,adler,adler,1183,1183
Адлерберг,Адлерберг,Адлерберг,5,adlerberg,adlerberg,25,25
Азанчевские,Азанчевский,Азанчевская,2,azanchevsky,azanchevskaya,6,25
Азанчевские-Азанчеевы,Азанчевский-Азанчеев,Азанчевская-Азанчеева,6,azanchevskiy-azancheev,azanchevskaya-azancheeva,-,-
Азанчеевы-Азанчевские,Азанчеев-Азанчевский,Азанчеева-Азанчевская,6,azancheev-azanchevsky,azancheeva-azanchevskaya,-,-
Азаревичи,Азаревич,Азаревич,3,azarevich,azarevich,198,198
Азигильдовы,Азигильдов,Азигильдова,4,azigildov,azigildova,-,-
Айгустовы,Айгустов,Айгустова,2,aygustov,aygustova,63,3
Айдаровы,Айдаров,Айдарова,6,aydarov,aydarova,1535,1447
Акиловы,Акилов,Акилова,2,akilov,akilova,1007,971
Акимкины,Акимкин,Акимкина,3,akimkin,akimkina,1248,1333
Акимовы,Акимов,Акимова,2,akimov,akimova,36954,39193
Акинфовы,Акинфов,Акинфова,6,akinfov,akinfova,18,23
Акновы,Акнов,Акнова,3,aknov,aknova,2,2
Акповы,Акпов,Акпова,3,akpov,akpova,-,-
Аксаковы,Аксаков,Аксакова,2,aksakov,aksakova,457,454
Аксеновы,Аксенов,Аксенова,3,aksenov,aksenova,14218,16300
Аксиотис,Аксиотис,Аксиотис,3,aksiotis,aksiotis,12,12
Алабовы,Алабов,Алабова,2,alabov,alabova,110,48
Алагреки,Алагреки,Алагреки,1,alagreki,alagreki,-,-
Алагрек,Алагрек,Алагрек,1,alagrek,alagrek,-,-
Аладьины,Аладьин,Аладьина,6,aladin,aladina,1300,1179
Алаишев,Алаишев,Алаишева,6,alaishev,alaisheva,-,-
Алашев,Алашев,Алашева,6,alashev,alasheva,111,86
Албини,Албини,Албини,3,albini,albini,2,2
Алдадановы,Алдаданов,Алдаданова,3,aldadanov,aldadanova,-,-
Алеевы,Алеев,Алеева,4,aleev,aleeva,3683,4283
Алейников,Алейников,Алейникова,3,aleynikov,aleynikova,5887,7668
Олейников,Олейников,Олейникова,3,oleynikov,oleynikova,11340,15323
Аллейников,Аллейников,Аллейникова,3,alleynikov,alleynikova,0,20
Александровы,Александров,Александрова,1,aleksandrov,aleksandrova,77740,103294
Алексеевы,Алексеев,Алексеева,2,alekseev,alekseeva,120187,137151
Алексеевцевы,Алексеевцев,Алексеевцева,3,alekseevtsev,alekseevtseva,23,13
Аленевы,Аленев,Аленева,2,alenev,aleneva,107,38
Алисов,Алисов,Алисова,6,alisov,alisova,1084,1607
Алларт,Алларт,Алларт,1,allart,allart,3,3
Аллар,Аллар,Аллар,1,allar,allar,2,2
Алмазовы,Алмазов,Алмазова,6,almazov,almazova,3618,5270
Алферовы,Алферов,Алферова,2,alferov,alferova,3360,5764
Алферьевы,Алферьев,Алферьева,1,alferev,alfereva,632,869
Алфимовы,Алфимов,Алфимова,6,alfimov,alfimova,1511,1407
Алымовы,Алымов,Алымова,2,alymov,alymova,2635,2988
Альбедиль,Альбедиль,Альбедиль,2,albedil,albedil,3,3
Альбебиль,Альбебиль,Альбебиль,2,albebil,albebil,-,-
Альбицкие,Альбицкий,Альбицкая,3,albitsky,albitskaya,25,212
Альбрехт,Альбрехт,Альбрехт,3,albrekht,albrekht,671,671
Альфонские,Альфонский,Альфонская,3,alfonsky,alfonskaya,6,10
Альфтан,Альфтан,Альфтан,2,alftan,alftan,4,4
Альфтон,Альфтон,Альфтон,2,alfton,alfton,0,0
Алябьев,Алябьев,Алябьева,6,alyabev,alyabeva,1819,2233
Аммосовы,Аммосов,Аммосова,6,ammosov,ammosova,2156,2223
Анбаровы,Анбаров,Анбарова,1,anbarov,anbarova,1,-
Ангелов,Ангелов,Ангелова,2,angelov,angelova,1857,2164
Андре,Андре,Андре,2,andre,andre,1,1
Анбре,Анбре,Анбре,2,anbre,anbre,0,0
Андреевы,Андреев,Андреева,1,andreev,andreeva,159923,215723
Андреевские,Андреевский,Андреевская,1,andreevsky,andreevskaya,650,1033
Андреяновы,Андреянов,Андреянова,2,andreyanov,andreyanova,2169,2865
Андриянов,Андриянов,Андриянова,6,andriyanov,andriyanova,6705,7671
Андрианов,Андрианов,Андрианова,6,andrianov,andrianova,14851,23163
Андроновы,Андронов,Андронова,2,andronov,andronova,9157,10518
Андропов,Андропов,Андропова,2,andropov,andropova,3212,2057
Антропов,Антропов,Антропова,2,antropov,antropova,10535,12357
Андроссовы,Андроссов,Андроссова,3,androssov,androssova,1,1
Андросовы,Андросов,Андросова,3,androsov,androsova,7292,9789
Андрушкевич,Андрушкевич,Андрушкевич,1,andrushkevich,andrushkevich,450,450
Аникеевы,Аникеев,Аникеева,2,anikeev,anikeeva,5724,6549
Анисимовы,Анисимов,Анисимова,2,anisimov,anisimova,52124,64607
Анитовы,Анитов,Анитова,1,anitov,anitova,27,67
Аничковы,Аничков,Аничкова,6,anichkov,anichkova,81,180
Анке,Анке,Анке,3,anke,anke,7,7
Анненковы,Анненков,Анненкова,2,annenkov,annenkova,2687,3394
Аноевы,Аноев,Аноева,3,anoev,anoeva,48,56
Аноприевы,Аноприев,Аноприева,3,anopriev,anoprieva,102,831
Анопреевы,Анопреев,Анопреева,3,anopreev,anopreeva,7,8
Аносовы,Аносов,Аносова,2,anosov,anosova,6409,5898
Анохины,Анохин,Анохина,3,anokhin,anokhina,16390,19939
Антоновы,Антонов,Антонова,2,antonov,antonova,110247,123273
Антонович,Антонович,Антонович,3,antonovich,antonovich,1963,1963
Антоньев,Антоньев,Антоньева,2,antonev,antoneva,101,144
Анучины,Анучин,Анучина,2,anuchin,anuchina,1709,2142
Анцыферовы,Анцыферов,Анцыферова,3,antsyferov,antsyferova,110,178
Апраксины,Апраксин,Апраксина,3,apraksin,apraksina,433,500
Апухтин,Апухтин,Апухтина,3,apukhtin,apukhtina,909,910
Апушкин,Апушкин,Апушкина,2,apushkin,apushkina,186,235
Арабидзевы,Арабидзев,Арабидзева,2,arabidzev,arabidzeva,-,-
Арапетовы,Арапетов,Арапетова,2,arapetov,arapetova,1,1
Арапов,Арапов,Арапова,6,arapov,arapova,4576,5224
Арбековы,Арбеков,Арбекова,2,arbekov,arbekova,163,265
Арбузов,Арбузов,Арбузова,6,arbuzov,arbuzova,6643,6929
Аргамаковы,Аргамаков,Аргамакова,2,argamakov,argamakova,16,23
Арендт,Арендт,Арендт,1,arendt,arendt,58,58
Арефьевы,Арефьев,Арефьева,2,arefev,arefeva,7434,8066
Аристовы,Аристов,Аристова,1,aristov,aristova,7501,8699
Армфельдт,Армфельдт,Армфельдт,3,armfeldt,armfeldt,-,-
Армфельд,Армфельд,Армфельд,3,armfeld,armfeld,3,3
Арнатские,Арнатский,Арнатская,3,arnatsky,arnatskaya,6,40
Арнаутов,Арнаутов,Арнаутова,6,arnautov,arnautova,1803,2424
Арнольды,Арнольд,Арнольд,2,arnold,arnold,1588,1588
Арнольди,Арнольди,Арнольди,2,arnoldi,arnoldi,13,13
Ароновы,Аронов,Аронова,2,aronov,aronova,3380,1165
Арсеньевы,Арсеньев,Арсеньева,2,arsenev,arseneva,3912,4496
Артемберги,Артемберги,Артемберги,2,artembergi,artembergi,-,-
Артемберг,Артемберг,Артемберг,2,artemberg,artemberg,-,-
Артемовы,Артемов,Артемова,2,artemov,artemova,8048,11265
Артемьевы,Артемьев,Артемьева,2,artemev,artemeva,21884,23397
Артлебен,Артлебен,Артлебен,3,artleben,artleben,-,-
Артыновы,Артынов,Артынова,3,artynov,artynova,111,138
Архангельские,Архангельский,Архангельская,2,arkhangelsky,arkhangelskaya,2490,2986
Архаровы,Архаров,Архарова,6,arkharov,arkharova,1072,1231
Архиповы,Архипов,Архипова,1,arkhipov,arkhipova,48473,63856
Арцыбышевы,Арцыбышев,Арцыбышева,4,artsybyshev,artsybysheva,1,7
Арцибашевы,Арцибашев,Арцибашева,4,artsibashev,artsibasheva,34,48
Аршеневские,Аршеневский,Аршеневская,3,arshenevsky,arshenevskaya,12,4
Асановы,Асанов,Асанова,2,asanov,asanova,7607,7955
Аскарханов,Аскарханов,Аскарханова,2,askarkhanov,askarkhanova,1,2
Асланбеговы,Асланбегов,Асланбегова,2,aslanbegov,aslanbegova,35,5
Аслановичи,Асланович,Асланович,2,aslanovich,aslanovich,122,122
Асминины,Асминин,Асминина,2,asminin,asminina,76,70
Астапенко,Астапенко,Астапенко,2,astapenko,astapenko,3905,3905
Астафьевы,Астафьев,Астафьева,2,astafev,astafeva,10044,12236
Остафьевы,Остафьев,Остафьева,6,ostafev,ostafeva,120,112
Дастор,Дастор,Дастор,2,dastor,dastor,1,1
Атаев,Атаев,Атаева,2,ataev,ataeva,6457,2867
Аталыков,Аталыков,Аталыкова,2,atalykov,atalykova,47,31
Ауновские,Ауновский,Ауновская,3,aunovsky,aunovskaya,2,-
Ауэрбахи,Ауэрбахи,Ауэрбахи,2,auerbakhi,auerbakhi,-,-
Ауэрбах,Ауэрбах,Ауэрбах,2,auerbakh,auerbakh,17,17
Афанасьевы,Афанасьев,Афанасьева,1,afanasev,afanaseva,55534,54877
Афонасьевы,Афонасьев,Афонасьева,1,afonasev,afonaseva,1619,1568
Афремовы,Афремов,Афремова,6,afremov,afremova,46,76
Ахалины,Ахалин,Ахалина,2,akhalin,akhalina,44,11
Ахлестышевы,Ахлестышев,Ахлестышева,1,akhlestyshev,akhlestysheva,-,-
Ахматов,Ахматов,Ахматова,6,akhmatov,akhmatova,2923,3722
Ахшарумовы,Ахшарумов,Ахшарумова,4,akhsharumov,akhsharumova,7,1
Бабановский,Бабановский,Бабановская,3,babanovsky,babanovskaya,3,3
Бабарыкин,Бабарыкин,Бабарыкина,6,babarykin,babarykina,1124,1054
Боборыкин,Боборыкин,Боборыкина,6,boborykin,boborykina,202,175
Бабины,Бабин,Бабина,3,babin,babina,8651,7702
Бабков,Бабков,Бабкова,1,babkov,babkova,1940,1874
Бабст,Бабст,Бабст,3,babst,babst,1,1
Багдадовы,Багдадов,Багдадова,3,bagdadov,bagdadova,16,0
Богдадовы,Богдадов,Богдадова,3,bogdadov,bogdadova,-,-
Багратионы,Багратион,Багратион,5,bagration,bagration,68,68
Багриновский,Багриновский,Багриновская,6,bagrinovsky,bagrinovskaya,17,31
Бадендик,Бадендик,Бадендик,3,badendik,badendik,-,-
Бодендик?,Бодендик,Бодендик,3,bodendik,bodendik,-,-
Бажановы,Бажанов,Бажанова,3,bazhanov,bazhanova,3100,4335
Баженовы,Баженов,Баженова,1,bazhenov,bazhenova,21059,25389
Бажины,Бажин,Бажина,2,bazhin,bazhina,3753,4254
Бажуковы,Бажуков,Бажукова,2,bazhukov,bazhukova,1381,1223
Базаров,Базаров,Базарова,3,bazarov,bazarova,8438,9164
Базилевичи,Базилевич,Базилевич,2,bazilevich,bazilevich,718,718
Базилевские,Базилевский,Базилевская,1,bazilevsky,bazilevskaya,483,672
Байбаковы,Байбаков,Байбакова,2,baybakov,baybakova,1600,1987
Байберины,Байберин,Байберина,6,bayberin,bayberina,-,-
Байер,Байер,Байер,3,bayer,bayer,639,639
Байко,Байко,Байко,2,bayko,bayko,233,233
Байковы,Байков,Байкова,2,baykov,baykova,8408,10130
Байковский,Байковский,Байковская,6,baykovsky,baykovskaya,130,169
Бакаревы,Бакарев,Бакарева,3,bakarev,bakareva,200,182
Бакареевы,Бакареев,Бакареева,3,bakareev,bakareeva,0,-
Бакеев,Бакеев,Бакеева,6,bakeev,bakeeva,1506,1210
Бакинцовы,Бакинцов,Бакинцова,2,bakintsov,bakintsova,-,-
Бакунины,Бакунин,Бакунина,6,bakunin,bakunina,992,961
Бакшеевы,Бакшеев,Бакшеева,2,baksheev,baksheeva,2079,2266
Балакшеевы,Балакшеев,Балакшеева,2,balaksheev,balaksheeva,11,3
Балахнины,Балахнин,Балахнина,3,balakhnin,balakhnina,1650,1850
Балахонцевы,Балахонцев,Балахонцева,3,balakhontsev,balakhontseva,400,396
Балашовы,Балашов,Балашова,1,balashov,balashova,24089,26144
Балашевы,Балашев,Балашева,1,balashev,balasheva,295,377
Балдин,Балдин,Балдина,3,baldin,baldina,5335,4110
Балетюс,Балетюс,Балетюс,1,baletjus,baletjus,-,-
Бальтус?,Бальтус,Бальтус,1,baltus,baltus,2,2
Балк,Балк,Балк,3,balk,balk,85,85
Балк-Полевы,Балк-Полев,Балк-Полева,4,balk-polev,balk-poleva,-,-
Балкашины,Балкашин,Балкашина,6,balkashin,balkashina,17,12
Балюр,Балюр,Балюр,2,baljur,baljur,-,-
Банины,Банин,Банина,2,banin,banina,1599,1025
Бантыш-Каменские,Бантыш-Каменский,Бантыш-Каменская,4,bantysh-kamensky,bantysh-kamenskaya,-,-
Барабановы,Барабанов,Барабанова,2,barabanov,barabanova,8067,8517
Баранов,Баранов,Баранова,5,baranov,baranova,83169,87428
Барановские,Барановский,Барановская,2,baranovsky,baranovskaya,4578,4377
Баранцевич,Баранцевич,Баранцевич,6,barantsevich,barantsevich,60,60
Баранчеевы,Баранчеев,Баранчеева,2,barancheev,barancheeva,38,51
Баратынский,Баратынский,Баратынская,6,baratynsky,baratynskaya,42,49
Боратынский,Боратынский,Боратынская,6,boratynsky,boratynskaya,1,5
Барбер,Барбер,Барбер,2,barber,barber,65,65
Бардовские,Бардовский,Бардовская,3,bardovsky,bardovskaya,227,198
Бароовские,Бароовский,Бароовская,3,baroovsky,baroovskaya,-,-
Бардуковы,Бардуков,Бардукова,2,bardukov,bardukova,245,258
Барбуковы,Барбуков,Барбукова,2,barbukov,barbukova,4,11
Барков,Барков,Баркова,6,barkov,barkova,8269,8754
Бармины,Бармин,Бармина,3,barmin,barmina,4642,7909
Барсовы,Барсов,Барсова,3,barsov,barsova,1094,880
Барсуковы,Барсуков,Барсукова,2,barsukov,barsukova,15062,15024
Бартеневы,Бартенев,Бартенева,6,bartenev,barteneva,2400,2884
Бартуков,Бартуков,Бартукова,2,bartukov,bartukova,8,6
Баршевы,Баршев,Баршева,3,barshev,barsheva,96,77
Барыковы,Барыков,Барыкова,2,barykov,barykova,179,146
Барышниковы,Барышников,Барышникова,3,baryshnikov,baryshnikova,10529,11551
Басалаевы,Басалаев,Басалаева,1,basalaev,basalaeva,2070,2759
Басанаевы,Басанаев,Басанаева,1,basanaev,basanaeva,21,76
Баскаковы,Баскаков,Баскакова,2,baskakov,baskakova,7420,8542
Басковы,Басков,Баскова,2,baskov,baskova,3102,2275
Басманов,Басманов,Басманова,3,basmanov,basmanova,1686,2139
Басовы,Басов,Басова,3,basov,basova,11807,13003
Баталин,Баталин,Баталина,3,batalin,batalina,1183,1215
Баталов,Баталов,Баталова,2,batalov,batalova,7135,8963
Батасовы,Батасов,Батасова,2,batasov,batasova,165,658
Баташевы,Баташев,Баташева,2,batashev,batasheva,390,731
Баташовы,Баташов,Баташова,2,batashov,batashova,914,712
Батуевы,Батуев,Батуева,2,batuev,batueva,15277,9230
Батурины,Батурин,Батурина,3,baturin,baturina,9112,9107
Баумгарт,Баумгарт,Баумгарт,3,baumgart,baumgart,38,38
Баумгартен,Баумгартен,Баумгартен,2,baumgarten,baumgarten,50,50
Бауэр,Бауэр,Бауэр,3,bauer,bauer,5965,5965
Бахметевы,Бахметев,Бахметева,2,bakhmetev,bakhmeteva,1450,1022
Бахтеревы,Бахтерев,Бахтерева,2,bakhterev,bakhtereva,134,298
Бахтеяров,Бахтеяров,Бахтеярова,6,bakhteyarov,bakhteyarova,17,20
Бахтиаров,Бахтиаров,Бахтиарова,2,bakhtiarov,bakhtiarova,900,1754
Башиловы,Башилов,Башилова,2,bashilov,bashilova,694,1206
Башкировы,Башкиров,Башкирова,3,bashkirov,bashkirova,4585,6093
Башкирцовы,Башкирцов,Башкирцова,2,bashkirtsov,bashkirtsova,2,3
Бебутов,Бебутов,Бебутова,5,bebutov,bebutova,34,29
Бегичевы,Бегичев,Бегичева,2,begichev,begicheva,232,420
Безбородов,Безбородов,Безбородова,2,bezborodov,bezborodova,4281,5540
Безобразовы,Безобразов,Безобразова,2,bezobrazov,bezobrazova,449,496
Безручко-Высоцкие,Безручко-Высоцкий,Безручко-Высоцкая,2,bezruchko-vysotsky,bezruchko-vysotskaya,-,1
Безсомыкины,Безсомыкин,Безсомыкина,3,bezsomykin,bezsomykina,-,-
Безсоновы,Безсонов,Безсонова,2,bezsonov,bezsonova,123,180
Бейдеман,Бейдеман,Бейдеман,3,beydeman,beydeman,1,1
Бекбулатовы,Бекбулатов,Бекбулатова,2,bekbulatov,bekbulatova,737,511
Бикбулатовы,Бикбулатов,Бикбулатова,2,bikbulatov,bikbulatova,3353,4642
Бекед,Бекед,Бекед,3,beked,beked,0,0
Бекет,Бекет,Бекет,3,beket,beket,23,23
Бекель,Бекель,Бекель,3,bekel,bekel,10,10
Бекендорфы,Бекендорф,Бекендорф,3,bekendorf,bekendorf,4,4
Бекер,Бекер,Бекер,3,beker,beker,479,479
Беккер,Беккер,Беккер,3,bekker,bekker,11827,11827
Бекетовы,Бекетов,Бекетова,3,beketov,beketova,6009,6691
Беклемишевы,Беклемишев,Беклемишева,2,beklemishev,beklemisheva,68,291
Бекневы,Бекнев,Бекнева,2,beknev,bekneva,2,1
Бекорюков,Бекорюков,Бекорюкова,6,bekorjukov,bekorjukova,-,-
Белавенец,Белавенец,Белавенец,3,belavenets,belavenets,3,3
Белавины,Белавин,Белавина,1,belavin,belavina,1408,1797
Белавинцовы,Белавинцов,Белавинцова,2,belavintsov,belavintsova,-,-
Белановские,Белановский,Белановская,3,belanovsky,belanovskaya,45,42
Белевич-Станкевич,Белевич-Станкевич,Белевич-Станкевич,6,belevich-stankevich,belevich-stankevich,-,-
Белевцев,Белевцев,Белевцева,6,belevtsev,belevtseva,409,398
Белениновы,Беленинов,Беленинова,3,beleninov,beleninova,48,60
Беликовы,Беликов,Беликова,3,belikov,belikova,20398,22576
Беликович,Беликович,Беликович,6,belikovich,belikovich,4,4
Белиховы,Белихов,Белихова,2,belikhov,belikhova,99,102
Белкин,Белкин,Белкина,6,belkin,belkina,12018,14055
Беловы,Белов,Белова,1,belov,belova,122693,138500
Белово,Белово,Белово,1,belovo,belovo,35,35
Белоголововы,Белоголовов,Белоголовова,3,belogolovov,belogolovova,5,17
Белоголовые,Белоголовый,Белоголовая,3,belogolovyy,belogolovaya,14,19
Белокопытовы,Белокопытов,Белокопытова,3,belokopytov,belokopytova,2753,2741
Белокопетов,Белокопетов,Белокопетова,3,belokopetov,belokopetova,-,-
Белокрылин,Белокрылин,Белокрылина,3,belokrylin,belokrylina,13,21
Белопольские,Белопольский,Белопольская,1,belopolsky,belopolskaya,174,206
Белосельские,Белосельский,Белосельская,5,beloselsky,beloselskaya,26,30
Белосельский-Белозерский,Белосельский-Белозерский,Белосельская-Белозерская,5,beloselskiy-belozersky,beloselskaya-belozerskaya,-,-
Белоусовы,Белоусов,Белоусова,2,belousov,belousova,51743,59665
Белые,Белый,Белая,2,belyy,belaya,33625,21793
Белого,Белого,Белого,2,belogo,belogo,21,21
Белаго,Белаго,Белаго,2,belago,belago,10,10
Бельгарды,Бельгард,Бельгард,2,belgard,belgard,40,40
Бельские,Бельский,Бельская,3,belsky,belskaya,4465,4922
Белявские,Белявский,Белявская,1,belyavsky,belyavskaya,1517,2141
Беляевы,Беляев,Беляева,1,belyaev,belyaeva,77617,84395
Беляки,Беляки,Беляки,2,belyaki,belyaki,0,0
Беляковы,Беляков,Белякова,3,belyakov,belyakova,34141,38589
Бемы,Бем,Бем,3,bem,bem,919,919
Бенардаки,Бенардаки,Бенардаки,2,benardaki,benardaki,16,16
Бернардаки,Бернардаки,Бернардаки,2,bernardaki,bernardaki,-,-
Бендерские,Бендерский,Бендерская,3,bendersky,benderskaya,172,165
Бендон,Бендон,Бендон,3,bendon,bendon,2,2
Бенедиктовы,Бенедиктов,Бенедиктова,2,benediktov,benediktova,181,143
Бенецкие,Бенецкий,Бенецкая,3,benetsky,benetskaya,14,63
Бениславский,Бениславский,Бениславская,6,benislavsky,benislavskaya,-,14
Бенкендорф,Бенкендорф,Бенкендорф,3,benkendorf,benkendorf,164,164
Беры,Бер,Бер,3,ber,ber,1168,1168
Бервик,Бервик,Бервик,2,bervik,bervik,1,1
Бервин,Бервин,Бервина,2,bervin,bervina,82,72
Берги,Берги,Берги,2,bergi,bergi,7,7
Берг,Берг,Берг,2,berg,berg,3805,3805
Фон-Берг,Фон-Берг,Фон-Берг,6,fon-berg,fon-berg,-,-
Бергер,Бергер,Бергер,3,berger,berger,3536,3536
Бергман,Бергман,Бергман,1,bergman,bergman,764,764
Бердниковы,Бердников,Бердникова,3,berdnikov,berdnikova,10972,12834
Березины,Березин,Березина,2,berezin,berezina,22211,25937
Березниковы,Березников,Березникова,6,bereznikov,bereznikova,615,806
Березницкие,Березницкий,Березницкая,3,bereznitsky,bereznitskaya,18,348
Берензоны,Берензон,Берензон,3,berenzon,berenzon,20,20
Беренсы,Беренс,Беренс,2,berens,berens,46,46
Беренцовы,Беренцов,Беренцова,3,berentsov,berentsova,10,18
Беринги,Беринги,Беринги,1,beringi,beringi,0,0
Беринг,Беринг,Беринг,1,bering,bering,139,139
Берковист,Берковист,Берковист,3,berkovist,berkovist,-,-
Берман,Берман,Берман,2,berman,berman,709,709
Бернарды,Бернард,Бернард,2,bernard,bernard,286,286
Бернацкие,Бернацкий,Бернацкая,1,bernatsky,bernatskaya,135,816
Бернов,Бернов,Бернова,1,bernov,bernova,134,101
Берс,Берс,Берс,2,bers,bers,300,300
Берхс?,Берхс,Берхс,2,berkhs,berkhs,-,-
Берсеньевы,Берсеньев,Берсеньева,2,bersenev,berseneva,3003,4856
Бертенштейн-де-Клавские,Бертенштейн-де-Клавский,Бертенштейн-де-Клавская,3,bertenshteyn-de-klavsky,bertenshteyn-de-klavskaya,-,-
Бертенштейн-Деклавские,Бертенштейн-Деклавский,Бертенштейн-Деклавская,3,bertenshteyn-deklavsky,bertenshteyn-deklavskaya,-,-
Берх,Берх,Берх,2,berkh,berkh,215,215
Бестужевы,Бестужев,Бестужева,2,bestuzhev,bestuzheva,842,1335
Бестужев-Рюмин,Бестужев-Рюмин,Бестужева-Рюмина,2,bestuzhev-rjumin,bestuzheva-rjumina,-,-
Бесчастнов,Бесчастнов,Бесчастнова,2,beschastnov,beschastnova,596,735
Бехтеевы,Бехтеев,Бехтеева,6,bekhteev,bekhteeva,18,7
Бешенцов,Бешенцов,Бешенцова,6,beshentsov,beshentsova,0,0
Бешенцев,Бешенцев,Бешенцева,6,beshentsev,beshentseva,403,324
Бибарсов,Бибарсов,Бибарсова,5,bibarsov,bibarsova,415,334
Бибиковы,Бибиков,Бибикова,2,bibikov,bibikova,3633,3504
Бизюкины,Бизюкин,Бизюкина,3,bizjukin,bizjukina,-,-
Биллевич,Биллевич,Биллевич,6,billevich,billevich,6,6
Бильдеман,Бильдеман,Бильдеман,2,bildeman,bildeman,0,0
Бильрот,Бильрот,Бильрот,2,bilrot,bilrot,3,3
Биндеман,Биндеман,Биндеман,2,bindeman,bindeman,15,15
Биппен,Биппен,Биппен,2,bippen,bippen,0,0
Бирилевы,Бирилев,Бирилева,2,birilev,birileva,2,0
Бирюлевы,Бирюлев,Бирюлева,2,birjulev,birjuleva,-,-
Биркели,Биркели,Биркели,3,birkeli,birkeli,1,1
Биркель,Биркель,Биркель,3,birkel,birkel,17,17
Бистром,Бистром,Бистром,2,bistrom,bistrom,0,0
Блаватские,Блаватский,Блаватская,3,blavatsky,blavatskaya,13,67
Благинины,Благинин,Благинина,2,blaginin,blaginina,1141,1189
Благовещенские,Благовещенский,Благовещенская,3,blagoveschensky,blagoveschenskaya,191,158
Благово,Благово,Благово,2,blagovo,blagovo,6,6
Благой,Благой,Благая,2,blagoy,blagaya,131,117
Благие;,Благие,Благие,2,blagie,blagie,0,0
Благаго,Благаго,Благаго,2,blagago,blagago,-,-
Бландовы,Бландов,Бландова,3,blandov,blandova,40,19
Бланк,Бланк,Бланк,3,blank,blank,993,993
Блашнин,Блашнин,Блашнина,2,blashnin,blashnina,3,-
Блидин,Блидин,Блидина,3,blidin,blidina,3,6
Блимнеры,Блимнер,Блимнер,3,blimner,blimner,0,0
Бминнер,Бминнер,Бминнер,3,bminner,bminner,-,-
Блиновы,Блинов,Блинова,2,blinov,blinova,28296,28122
Блогов,Блогов,Блогова,3,blogov,blogova,18,10
Блонштейн,Блонштейн,Блонштейн,3,blonshteyn,blonshteyn,1,1
Блохины,Блохин,Блохина,6,blokhin,blokhina,12869,13395
Блахины,Блахин,Блахина,6,blakhin,blakhina,25,23
Блудовы,Блудов,Блудова,6,bludov,bludova,1146,725
Блументали,Блументали,Блументали,3,blumentali,blumentali,-,-
Блументаль,Блументаль,Блументаль,3,blumental,blumental,12,12
Блюм,Блюм,Блюм,3,bljum,bljum,0,0
Блюмер,Блюмер,Блюмер,2,bljumer,bljumer,-,-
Блязовы,Блязов,Блязова,3,blyazov,blyazova,-,-
Блзовы,Блзов,Блзова,3,blzov,blzova,-,-
Бляхов,Бляхов,Бляхова,3,blyakhov,blyakhova,21,9
Бобринские,Бобринский,Бобринская,5,bobrinsky,bobrinskaya,153,121
Бобрищев,Бобрищев,Бобрищева,3,bobrischev,bobrischeva,4,5
Бобрищевы-Пушкины,Бобрищев-Пушкин,Бобрищева-Пушкина,4,bobrischev-pushkin,bobrischeva-pushkina,-,-
Бобровы,Бобров,Боброва,2,bobrov,bobrova,28256,32240
Бабровы,Бабров,Баброва,2,babrov,babrova,99,88
Бобровницкие,Бобровницкий,Бобровницкая,3,bobrovnitsky,bobrovnitskaya,7,25
Бобылевы,Бобылев,Бобылева,3,bobylev,bobyleva,8033,8636
Бове,Бове,Бове,1,bove,bove,38,38
Богаевские,Богаевский,Богаевская,6,bogaevsky,bogaevskaya,272,276
