,plural,male,female,title,male_eng,female_eng
0,Абаза,Абаза,Абаза,2,abaza,abaza
1,Абакумовы,Абакумов,Абакумова,1,abakumov,abakumova
2,Абакумовы,Абакумов,Абакумова,3,abakumov,abakumova
3,Абакумовы,Абакумов,Абакумова,3,abakumov,abakumova
4,Абакумовы,Абакумов,Абакумова,3,abakumov,abakumova
5,Абамелики,Абамелики,Абамелики,5,abameliki,abameliki
6,Абамелик,Абамелик,Абамелик,5,abamelik,abamelik
7,Абиецкие,Абиецкий,Абиецкая,1,abietsky,abietskaya
8,Абиетский,Абиетский,Абиетская,1,abietsky,abietskaya
9,Абловы,Аблов,Аблова,6,ablov,ablova
10,Абрамовы,Абрамов,Абрамова,2,abramov,abramova
11,Абрамовичи-Барановские,Абрамович-Барановский,Абрамович-Барановская,2,abramovich-baranovsky,abramovich-baranovskaya
12,Абросимовы,Абросимов,Абросимова,3,abrosimov,abrosimova
13,Абулаевы,Абулаев,Абулаева,4,abulaev,abulaeva
14,Абуховские,Абуховский,Абуховская,2,abukhovsky,abukhovskaya
15,Авакаров,Авакаров,Авакарова,2,avakarov,avakarova
16,Аввакумовы,Аввакумов,Аввакумова,1,avvakumov,avvakumova
17,Авакумовы,Авакумов,Авакумова,1,avakumov,avakumova
18,Авдуловы,Авдулов,Авдулова,2,avdulov,avdulova
19,Авдуловы,Авдулов,Авдулова,6,avdulov,avdulova
20,Аверкиевы,Аверкиев,Аверкиева,2,averkiev,averkieva
21,Аверьяновы,Аверьянов,Аверьянова,2,averyanov,averyanova
22,Авловы,Авлов,Авлова,2,avlov,avlova
23,Аврамовы,Аврамов,Аврамова,2,avramov,avramova
24,Аврамовы,Аврамов,Аврамова,3,avramov,avramova
25,Агаповы,Агапов,Агапова,3,agapov,agapova
26,Агафоновы,Агафонов,Агафонова,3,agafonov,agafonova
27,Агеевы,Агеев,Агеева,3,ageev,ageeva
28,Агеевы,Агеев,Агеева,3,ageev,ageeva
29,Агеевы,Агеев,Агеева,3,ageev,ageeva
30,Агеевы,Агеев,Агеева,3,ageev,ageeva
31,Агентовы,Агентов,Агентова,2,agentov,agentova
32,Агентовы,Агентов,Агентова,3,agentov,agentova
33,Аграновские,Аграновский,Аграновская,3,agranovsky,agranovskaya
34,Агреневы,Агренев,Агренева,3,agrenev,agreneva
35,Адами,Адами,Адами,3,adami,adami
36,Адамс,Адамс,Адамс,3,adams,adams
37,Адлер,Адлер,Адлер,2,adler,adler
38,Адлерберг,Адлерберг,Адлерберг,5,adlerberg,adlerberg
39,Азанчевские,Азанчевский,Азанчевская,2,azanchevsky,azanchevskaya
40,Азанчевские,Азанчевский,Азанчевская,6,azanchevsky,azanchevskaya
41,Азанчевские-Азанчеевы,Азанчевский-Азанчеев,Азанчевская-Азанчеева,6,azanchevskiy-azancheev,azanchevskaya-azancheeva
42,Азанчеевы-Азанчевские,Азанчеев-Азанчевский,Азанчеева-Азанчевская,6,azancheev-azanchevsky,azancheeva-azanchevskaya
43,Азанчевский-Азанчеев,Азанчевский-Азанчеев,Азанчевская-Азанчеева,6,azanchevskiy-azancheev,azanchevskaya-azancheeva
44,Азаревичи,Азаревич,Азаревич,3,azarevich,azarevich
45,Азигильдовы,Азигильдов,Азигильдова,4,azigildov,azigildova
46,Айгустовы,Айгустов,Айгустова,2,aygustov,aygustova
47,Айгустовы,Айгустов,Айгустова,3,aygustov,aygustova
48,Айдаровы,Айдаров,Айдарова,6,aydarov,aydarova
49,Айдаровы,Айдаров,Айдарова,6,aydarov,aydarova
50,Айдаровы,Айдаров,Айдарова,6,aydarov,aydarova
51,Акиловы,Акилов,Акилова,2,akilov,akilova
52,Акимкины,Акимкин,Акимкина,3,akimkin,akimkina
53,Акимовы,Акимов,Акимова,2,akimov,akimova
54,Акимовы,Акимов,Акимова,3,akimov,akimova
55,Акимовы,Акимов,Акимова,3,akimov,akimova
56,Акинфовы,Акинфов,Акинфова,6,akinfov,akinfova
57,Акновы,Акнов,Акнова,3,aknov,aknova
58,Акповы,Акпов,Акпова,3,akpov,akpova
59,Аксаковы,Аксаков,Аксакова,2,aksakov,aksakova
60,Аксаковы,Аксаков,Аксакова,6,aksakov,aksakova
61,Аксеновы,Аксенов,Аксенова,3,aksenov,aksenova
62,Аксеновы,Аксенов,Аксенова,6,aksenov,aksenova
63,Аксиотис,Аксиотис,Аксиотис,3,aksiotis,aksiotis
64,Алабовы,Алабов,Алабова,2,alabov,alabova
65,Алабовы,Алабов,Алабова,3,alabov,alabova
66,Алабовы,Алабов,Алабова,3,alabov,alabova
67,Алагреки,Алагреки,Алагреки,1,alagreki,alagreki
68,Алагреки,Алагреки,Алагреки,2,alagreki,alagreki
69,Алагрек,Алагрек,Алагрек,1,alagrek,alagrek
70,Алагрек,Алагрек,Алагрек,2,alagrek,alagrek
71,Аладьины,Аладьин,Аладьина,6,aladin,aladina
72,Алаишев,Алаишев,Алаишева,6,alaishev,alaisheva
73,Алашев,Алашев,Алашева,6,alashev,alasheva
74,Албини,Албини,Албини,3,albini,albini
75,Альбини,Альбини,Альбини,3,albini,albini
76,Алдадановы,Алдаданов,Алдаданова,3,aldadanov,aldadanova
77,Алеевы,Алеев,Алеева,4,aleev,aleeva
78,Алеевы,Алеев,Алеева,6,aleev,aleeva
79,Алейников,Алейников,Алейникова,3,aleynikov,aleynikova
80,Олейников,Олейников,Олейникова,3,oleynikov,oleynikova
81,Аллейников,Аллейников,Аллейникова,3,alleynikov,alleynikova
82,Александровы,Александров,Александрова,1,aleksandrov,aleksandrova
83,Александровы,Александров,Александрова,2,aleksandrov,aleksandrova
84,Александровы,Александров,Александрова,2,aleksandrov,aleksandrova
85,Александровы,Александров,Александрова,2,aleksandrov,aleksandrova
86,Александровы,Александров,Александрова,2,aleksandrov,aleksandrova
87,Александровы,Александров,Александрова,3,aleksandrov,aleksandrova
88,Александровы,Александров,Александрова,3,aleksandrov,aleksandrova
89,Александровы,Александров,Александрова,3,aleksandrov,aleksandrova
90,Александровы,Александров,Александрова,3,aleksandrov,aleksandrova
91,Александровы,Александров,Александрова,3,aleksandrov,aleksandrova
92,Александровы,Александров,Александрова,6,aleksandrov,aleksandrova
93,Алексеевы,Алексеев,Алексеева,2,alekseev,alekseeva
94,Алексеевы,Алексеев,Алексеева,2,alekseev,alekseeva
95,Алексеевы,Алексеев,Алексеева,2,alekseev,alekseeva
96,Алексеевы,Алексеев,Алексеева,1,alekseev,alekseeva
97,Алексеевы,Алексеев,Алексеева,2,alekseev,alekseeva
98,Алексеевы,Алексеев,Алексеева,2,alekseev,alekseeva
99,Алексеевы,Алексеев,Алексеева,1,alekseev,alekseeva
100,Алексеевы,Алексеев,Алексеева,2,alekseev,alekseeva
101,Алексеевы,Алексеев,Алексеева,2,alekseev,alekseeva
102,Алексеевы,Алексеев,Алексеева,2,alekseev,alekseeva
103,Алексеевы,Алексеев,Алексеева,2,alekseev,alekseeva
104,Алексеевы,Алексеев,Алексеева,2,alekseev,alekseeva
105,Алексеевы,Алексеев,Алексеева,2,alekseev,alekseeva
106,Алексеевы,Алексеев,Алексеева,2,alekseev,alekseeva
107,Алексеевы,Алексеев,Алексеева,2,alekseev,alekseeva
108,Алексеевы,Алексеев,Алексеева,2,alekseev,alekseeva
109,Алексеевы,Алексеев,Алексеева,3,alekseev,alekseeva
110,Алексеевы,Алексеев,Алексеева,3,alekseev,alekseeva
111,Алексеевы,Алексеев,Алексеева,3,alekseev,alekseeva
112,Алексеевы,Алексеев,Алексеева,3,alekseev,alekseeva
113,Алексеевы,Алексеев,Алексеева,3,alekseev,alekseeva
114,Алексеевы,Алексеев,Алексеева,3,alekseev,alekseeva
115,Алексеевы,Алексеев,Алексеева,3,alekseev,alekseeva
116,Алексеевы,Алексеев,Алексеева,3,alekseev,alekseeva
117,Алексеевы,Алексеев,Алексеева,3,alekseev,alekseeva
118,Алексеевы,Алексеев,Алексеева,3,alekseev,alekseeva
119,Алексеевы,Алексеев,Алексеева,3,alekseev,alekseeva
120,Алексеевы,Алексеев,Алексеева,3,alekseev,alekseeva
121,Алексеевы,Алексеев,Алексеева,3,alekseev,alekseeva
122,Алексеевы,Алексеев,Алексеева,3,alekseev,alekseeva
123,Алексеевы,Алексеев,Алексеева,3,alekseev,alekseeva
124,Алексеевы,Алексеев,Алексеева,6,alekseev,alekseeva
125,Алексеевы,Алексеев,Алексеева,6,alekseev,alekseeva
126,Алексеевцевы,Алексеевцев,Алексеевцева,3,alekseevtsev,alekseevtseva
127,Аленевы,Аленев,Аленева,2,alenev,aleneva
128,Алисов,Алисов,Алисова,6,alisov,alisova
129,Алларт,Алларт,Алларт,1,allart,allart
130,Алларт,Алларт,Алларт,3,allart,allart
131,Аллар,Аллар,Аллар,1,allar,allar
132,Аллар,Аллар,Аллар,3,allar,allar
133,Алмазовы,Алмазов,Алмазова,6,almazov,almazova
134,Алферовы,Алферов,Алферова,2,alferov,alferova
135,Алферовы,Алферов,Алферова,3,alferov,alferova
136,Алферьевы,Алферьев,Алферьева,1,alferev,alfereva
137,Алферьевы,Алферьев,Алферьева,3,alferev,alfereva
138,Алферьевы,Алферьев,Алферьева,3,alferev,alfereva
139,Алфимовы,Алфимов,Алфимова,6,alfimov,alfimova
140,Алфимовы,Алфимов,Алфимова,6,alfimov,alfimova
141,Алымовы,Алымов,Алымова,2,alymov,alymova
142,Алымовы,Алымов,Алымова,2,alymov,alymova
143,Альбедиль,Альбедиль,Альбедиль,2,albedil,albedil
144,Альбебиль,Альбебиль,Альбебиль,2,albebil,albebil
145,Альбицкие,Альбицкий,Альбицкая,3,albitsky,albitskaya
146,Альбрехт,Альбрехт,Альбрехт,3,albrekht,albrekht
147,Альбрехт,Альбрехт,Альбрехт,3,albrekht,albrekht
148,Альфонские,Альфонский,Альфонская,3,alfonsky,alfonskaya
149,Алфонские,Алфонский,Алфонская,3,alfonsky,alfonskaya
150,Альфтан,Альфтан,Альфтан,2,alftan,alftan
151,Альфтан,Альфтан,Альфтан,2,alftan,alftan
152,Альфтан,Альфтан,Альфтан,3,alftan,alftan
153,Альфтон,Альфтон,Альфтон,2,alfton,alfton
154,Альфтон,Альфтон,Альфтон,2,alfton,alfton
155,Альфтон,Альфтон,Альфтон,3,alfton,alfton
156,Алябьев,Алябьев,Алябьева,6,alyabev,alyabeva
157,Аммосовы,Аммосов,Аммосова,6,ammosov,ammosova
158,Анбаровы,Анбаров,Анбарова,1,anbarov,anbarova
159,Анбаровы,Анбаров,Анбарова,3,anbarov,anbarova
160,Ангелов,Ангелов,Ангелова,2,angelov,angelova
161,Андре,Андре,Андре,2,andre,andre
162,Андре,Андре,Андре,2,andre,andre
163,Андре,Андре,Андре,3,andre,andre
164,Андре,Андре,Андре,3,andre,andre
165,Анбре,Анбре,Анбре,2,anbre,anbre
166,Анбре,Анбре,Анбре,2,anbre,anbre
167,Анбре,Анбре,Анбре,3,anbre,anbre
168,Анбре,Анбре,Анбре,3,anbre,anbre
169,Андреевы,Андреев,Андреева,1,andreev,andreeva
170,Андреевы,Андреев,Андреева,1,andreev,andreeva
171,Андреевы,Андреев,Андреева,1,andreev,andreeva
172,Андреевы,Андреев,Андреева,1,andreev,andreeva
173,Андреевы,Андреев,Андреева,2,andreev,andreeva
174,Андреевы,Андреев,Андреева,2,andreev,andreeva
175,Андреевы,Андреев,Андреева,2,andreev,andreeva
176,Андреевы,Андреев,Андреева,2,andreev,andreeva
177,Андреевы,Андреев,Андреева,2,andreev,andreeva
178,Андреевы,Андреев,Андреева,2,andreev,andreeva
179,Андреевы,Андреев,Андреева,2,andreev,andreeva
180,Андреевы,Андреев,Андреева,2,andreev,andreeva
181,Андреевы,Андреев,Андреева,3,andreev,andreeva
182,Андреевы,Андреев,Андреева,3,andreev,andreeva
183,Андреевы,Андреев,Андреева,3,andreev,andreeva
184,Андреевы,Андреев,Андреева,3,andreev,andreeva
185,Андреевы,Андреев,Андреева,3,andreev,andreeva
186,Андреевы,Андреев,Андреева,3,andreev,andreeva
187,Андреевы,Андреев,Андреева,3,andreev,andreeva
188,Андреевы,Андреев,Андреева,3,andreev,andreeva
189,Андреевы,Андреев,Андреева,3,andreev,andreeva
190,Андреевы,Андреев,Андреева,3,andreev,andreeva
191,Андреевы,Андреев,Андреева,3,andreev,andreeva
192,Андреевы,Андреев,Андреева,3,andreev,andreeva
193,Андреевы,Андреев,Андреева,3,andreev,andreeva
194,Андреевы,Андреев,Андреева,3,andreev,andreeva
195,Андреевы,Андреев,Андреева,3,andreev,andreeva
196,Андреевы,Андреев,Андреева,3,andreev,andreeva
197,Андреевские,Андреевский,Андреевская,1,andreevsky,andreevskaya
198,Андреевские,Андреевский,Андреевская,2,andreevsky,andreevskaya
199,Андреевские,Андреевский,Андреевская,3,andreevsky,andreevskaya
200,Андреевские,Андреевский,Андреевская,3,andreevsky,andreevskaya
201,Андреевские,Андреевский,Андреевская,3,andreevsky,andreevskaya
202,Андреевские,Андреевский,Андреевская,3,andreevsky,andreevskaya
203,Андреевские,Андреевский,Андреевская,6,andreevsky,andreevskaya
204,Андреяновы,Андреянов,Андреянова,2,andreyanov,andreyanova
205,Андреяновы,Андреянов,Андреянова,2,andreyanov,andreyanova
206,Андреяновы,Андреянов,Андреянова,3,andreyanov,andreyanova
207,Андреяновы,Андреянов,Андреянова,6,andreyanov,andreyanova
208,Андриянов,Андриянов,Андриянова,6,andriyanov,andriyanova
209,Андрианов,Андрианов,Андрианова,6,andrianov,andrianova
210,Андроновы,Андронов,Андронова,2,andronov,andronova
211,Андроновы,Андронов,Андронова,2,andronov,andronova
212,Андроновы,Андронов,Андронова,3,andronov,andronova
213,Андропов,Андропов,Андропова,2,andropov,andropova
214,Антропов,Антропов,Антропова,2,antropov,antropova
215,Андроссовы,Андроссов,Андроссова,3,androssov,androssova
216,Андросовы,Андросов,Андросова,3,androsov,androsova
217,Андрушкевич,Андрушкевич,Андрушкевич,1,andrushkevich,andrushkevich
218,Аникеевы,Аникеев,Аникеева,2,anikeev,anikeeva
219,Аникеевы,Аникеев,Аникеева,2,anikeev,anikeeva
220,Аникеевы,Аникеев,Аникеева,3,anikeev,anikeeva
221,Аникеевы,Аникеев,Аникеева,3,anikeev,anikeeva
222,Аникеевы,Аникеев,Аникеева,3,anikeev,anikeeva
223,Анисимовы,Анисимов,Анисимова,2,anisimov,anisimova
224,Анисимовы,Анисимов,Анисимова,2,anisimov,anisimova
225,Анисимовы,Анисимов,Анисимова,2,anisimov,anisimova
226,Анисимовы,Анисимов,Анисимова,3,anisimov,anisimova
227,Анитовы,Анитов,Анитова,1,anitov,anitova
228,Анитовы,Анитов,Анитова,1,anitov,anitova
229,Анитовы,Анитов,Анитова,3,anitov,anitova
230,Анитовы,Анитов,Анитова,1,anitov,anitova
231,Анитовы,Анитов,Анитова,3,anitov,anitova
232,Аничковы,Аничков,Аничкова,6,anichkov,anichkova
233,Аничковы,Аничков,Аничкова,6,anichkov,anichkova
234,Анке,Анке,Анке,3,anke,anke
235,Анненковы,Анненков,Анненкова,2,annenkov,annenkova
236,Аноевы,Аноев,Аноева,3,anoev,anoeva
237,Аноприевы,Аноприев,Аноприева,3,anopriev,anoprieva
238,Анопреевы,Анопреев,Анопреева,3,anopreev,anopreeva
239,Аносовы,Аносов,Аносова,2,anosov,anosova
240,Аносовы,Аносов,Аносова,6,anosov,anosova
241,Анохины,Анохин,Анохина,3,anokhin,anokhina
242,Анохины,Анохин,Анохина,6,anokhin,anokhina
243,Антоновы,Антонов,Антонова,2,antonov,antonova
244,Антоновы,Антонов,Антонова,2,antonov,antonova
245,Антоновы,Антонов,Антонова,2,antonov,antonova
246,Антоновы,Антонов,Антонова,2,antonov,antonova
247,Антоновы,Антонов,Антонова,2,antonov,antonova
248,Антоновы,Антонов,Антонова,2,antonov,antonova
249,Антоновы,Антонов,Антонова,3,antonov,antonova
250,Антоновы,Антонов,Антонова,3,antonov,antonova
251,Антоновы,Антонов,Антонова,3,antonov,antonova
252,Антонович,Антонович,Антонович,3,antonovich,antonovich
253,Антоньев,Антоньев,Антоньева,2,antonev,antoneva
254,Анучины,Анучин,Анучина,2,anuchin,anuchina
255,Анучины,Анучин,Анучина,2,anuchin,anuchina
256,Анцыферовы,Анцыферов,Анцыферова,3,antsyferov,antsyferova
257,Апраксины,Апраксин,Апраксина,3,apraksin,apraksina
258,Апраксины,Апраксин,Апраксина,4,apraksin,apraksina
259,Апухтин,Апухтин,Апухтина,3,apukhtin,apukhtina
260,Апушкин,Апушкин,Апушкина,2,apushkin,apushkina
261,Арабидзевы,Арабидзев,Арабидзева,2,arabidzev,arabidzeva
262,Арабидзевы,Арабидзев,Арабидзева,4,arabidzev,arabidzeva
263,Арабидьзевы,Арабидьзев,Арабидьзева,2,arabidzev,arabidzeva
264,Арабидьзевы,Арабидьзев,Арабидьзева,4,arabidzev,arabidzeva
265,Арапетовы,Арапетов,Арапетова,2,arapetov,arapetova
266,Арапетовы,Арапетов,Арапетова,3,arapetov,arapetova
267,Арапов,Арапов,Арапова,6,arapov,arapova
268,Арбековы,Арбеков,Арбекова,2,arbekov,arbekova
269,Арбузов,Арбузов,Арбузова,6,arbuzov,arbuzova
270,Аргамаковы,Аргамаков,Аргамакова,2,argamakov,argamakova
271,Аргамаковы,Аргамаков,Аргамакова,3,argamakov,argamakova
272,Арендт,Арендт,Арендт,1,arendt,arendt
273,Арефьевы,Арефьев,Арефьева,2,arefev,arefeva
274,Аристовы,Аристов,Аристова,1,aristov,aristova
275,Аристовы,Аристов,Аристова,3,aristov,aristova
276,Аристовы,Аристов,Аристова,3,aristov,aristova
277,Аристовы,Аристов,Аристова,3,aristov,aristova
278,Аристовы,Аристов,Аристова,6,aristov,aristova
279,Армфельдт,Армфельдт,Армфельдт,3,armfeldt,armfeldt
280,Армфельд,Армфельд,Армфельд,3,armfeld,armfeld
281,Арнатские,Арнатский,Арнатская,3,arnatsky,arnatskaya
282,Арнаутов,Арнаутов,Арнаутова,6,arnautov,arnautova
283,Арнольды,Арнольд,Арнольд,2,arnold,arnold
284,Арнольды,Арнольд,Арнольд,2,arnold,arnold
285,Арнольди,Арнольди,Арнольди,2,arnoldi,arnoldi
286,Арнольди,Арнольди,Арнольди,2,arnoldi,arnoldi
287,Ароновы,Аронов,Аронова,2,aronov,aronova
288,Ароновы,Аронов,Аронова,3,aronov,aronova
289,Арсеньевы,Арсеньев,Арсеньева,2,arsenev,arseneva
290,Арсеньевы,Арсеньев,Арсеньева,3,arsenev,arseneva
291,Арсеньевы,Арсеньев,Арсеньева,4,arsenev,arseneva
292,Арсеньевы,Арсеньев,Арсеньева,4,arsenev,arseneva
293,Арсеньевы,Арсеньев,Арсеньева,6,arsenev,arseneva
294,Арсеньевы,Арсеньев,Арсеньева,6,arsenev,arseneva
295,Артемберги,Артемберги,Артемберги,2,artembergi,artembergi
296,Артемберг,Артемберг,Артемберг,2,artemberg,artemberg
297,Артемовы,Артемов,Артемова,2,artemov,artemova
298,Артемовы,Артемов,Артемова,3,artemov,artemova
299,Артемьевы,Артемьев,Артемьева,2,artemev,artemeva
300,Артемьевы,Артемьев,Артемьева,3,artemev,artemeva
301,Артлебен,Артлебен,Артлебен,3,artleben,artleben
302,Артыновы,Артынов,Артынова,3,artynov,artynova
303,Архангельские,Архангельский,Архангельская,2,arkhangelsky,arkhangelskaya
304,Архангельские,Архангельский,Архангельская,3,arkhangelsky,arkhangelskaya
305,Архаровы,Архаров,Архарова,6,arkharov,arkharova
306,Архиповы,Архипов,Архипова,1,arkhipov,arkhipova
307,Архиповы,Архипов,Архипова,2,arkhipov,arkhipova
308,Арцыбышевы,Арцыбышев,Арцыбышева,4,artsybyshev,artsybysheva
309,Арцыбышевы,Арцыбышев,Арцыбышева,6,artsybyshev,artsybysheva
310,Арцибашевы,Арцибашев,Арцибашева,4,artsibashev,artsibasheva
311,Арцибашевы,Арцибашев,Арцибашева,6,artsibashev,artsibasheva
312,Аршеневские,Аршеневский,Аршеневская,3,arshenevsky,arshenevskaya
313,Аршеневские,Аршеневский,Аршеневская,3,arshenevsky,arshenevskaya
314,Аршеневские,Аршеневский,Аршеневская,6,arshenevsky,arshenevskaya
315,Асановы,Асанов,Асанова,2,asanov,asanova
316,Аскарханов,Аскарханов,Аскарханова,2,askarkhanov,askarkhanova
317,Асланбеговы,Асланбегов,Асланбегова,2,aslanbegov,aslanbegova
318,Аслановичи,Асланович,Асланович,2,aslanovich,aslanovich
319,Асминины,Асминин,Асминина,2,asminin,asminina
320,Астапенко,Астапенко,Астапенко,2,astapenko,astapenko
321,Астафьевы,Астафьев,Астафьева,2,astafev,astafeva
322,Астафьевы,Астафьев,Астафьева,2,astafev,astafeva
323,Астафьевы,Астафьев,Астафьева,2,astafev,astafeva
324,Астафьевы,Астафьев,Астафьева,2,astafev,astafeva
325,Астафьевы,Астафьев,Астафьева,2,astafev,astafeva
326,Астафьевы,Астафьев,Астафьева,3,astafev,astafeva
327,Астафьевы,Астафьев,Астафьева,6,astafev,astafeva
328,Остафьевы,Остафьев,Остафьева,6,ostafev,ostafeva
329,Остафьевы,Остафьев,Остафьева,6,ostafev,ostafeva
330,Остафьевы,Остафьев,Остафьева,6,ostafev,ostafeva
331,Остафьевы,Остафьев,Остафьева,6,ostafev,ostafeva
332,Дастор,Дастор,Дастор,2,dastor,dastor
333,Атаев,Атаев,Атаева,2,ataev,ataeva
334,Аталыков,Аталыков,Аталыкова,2,atalykov,atalykova
335,Ауновские,Ауновский,Ауновская,3,aunovsky,aunovskaya
336,Ауэрбахи,Ауэрбахи,Ауэрбахи,2,auerbakhi,auerbakhi
337,Ауэрбах,Ауэрбах,Ауэрбах,2,auerbakh,auerbakh
338,Ауербах,Ауербах,Ауербах,2,auerbakh,auerbakh
339,Афанасьевы,Афанасьев,Афанасьева,1,afanasev,afanaseva
340,Афанасьевы,Афанасьев,Афанасьева,2,afanasev,afanaseva
341,Афанасьевы,Афанасьев,Афанасьева,2,afanasev,afanaseva
342,Афанасьевы,Афанасьев,Афанасьева,3,afanasev,afanaseva
343,Афанасьевы,Афанасьев,Афанасьева,3,afanasev,afanaseva
344,Афанасьевы,Афанасьев,Афанасьева,3,afanasev,afanaseva
345,Афонасьевы,Афонасьев,Афонасьева,1,afonasev,afonaseva
346,Афонасьевы,Афонасьев,Афонасьева,2,afonasev,afonaseva
347,Афонасьевы,Афонасьев,Афонасьева,2,afonasev,afonaseva
348,Афонасьевы,Афонасьев,Афонасьева,3,afonasev,afonaseva
349,Афонасьевы,Афонасьев,Афонасьева,3,afonasev,afonaseva
350,Афонасьевы,Афонасьев,Афонасьева,3,afonasev,afonaseva
351,Афремовы,Афремов,Афремова,6,afremov,afremova
352,Ахалины,Ахалин,Ахалина,2,akhalin,akhalina
353,Ахлестышевы,Ахлестышев,Ахлестышева,1,akhlestyshev,akhlestysheva
354,Ахлестышевы,Ахлестышев,Ахлестышева,1,akhlestyshev,akhlestysheva
355,Ахлестышевы,Ахлестышев,Ахлестышева,1,akhlestyshev,akhlestysheva
356,Ахлестышевы,Ахлестышев,Ахлестышева,1,akhlestyshev,akhlestysheva
357,Ахматов,Ахматов,Ахматова,6,akhmatov,akhmatova
358,Ахшарумовы,Ахшарумов,Ахшарумова,4,akhsharumov,akhsharumova
359,Ахшарумовы,Ахшарумов,Ахшарумова,4,akhsharumov,akhsharumova
360,Бабановский,Бабановский,Бабановская,3,babanovsky,babanovskaya
361,Бабарыкин,Бабарыкин,Бабарыкина,6,babarykin,babarykina
362,Боборыкин,Боборыкин,Боборыкина,6,boborykin,boborykina
363,Бабины,Бабин,Бабина,3,babin,babina
364,Бабков,Бабков,Бабкова,1,babkov,babkova
365,Бабков,Бабков,Бабкова,3,babkov,babkova
366,Бабст,Бабст,Бабст,3,babst,babst
367,Багдадовы,Багдадов,Багдадова,3,bagdadov,bagdadova
368,Багдадовы,Багдадов,Багдадова,3,bagdadov,bagdadova
369,Богдадовы,Богдадов,Богдадова,3,bogdadov,bogdadova
370,Богдадовы,Богдадов,Богдадова,3,bogdadov,bogdadova
371,Багратионы,Багратион,Багратион,5,bagration,bagration
372,Багратион,Багратион,Багратион,5,bagration,bagration
373,Багриновский,Багриновский,Багриновская,6,bagrinovsky,bagrinovskaya
374,Бадендик,Бадендик,Бадендик,3,badendik,badendik
375,Бодендик?,Бодендик,Бодендик,3,bodendik,bodendik
376,Бажановы,Бажанов,Бажанова,3,bazhanov,bazhanova
377,Баженовы,Баженов,Баженова,1,bazhenov,bazhenova
378,Баженовы,Баженов,Баженова,2,bazhenov,bazhenova
379,Баженовы,Баженов,Баженова,3,bazhenov,bazhenova
380,Бажины,Бажин,Бажина,2,bazhin,bazhina
381,Бажуковы,Бажуков,Бажукова,2,bazhukov,bazhukova
382,Бажуковы,Бажуков,Бажукова,3,bazhukov,bazhukova
383,Бажуковы,Бажуков,Бажукова,3,bazhukov,bazhukova
384,Бажуковы,Бажуков,Бажукова,3,bazhukov,bazhukova
385,Базаров,Базаров,Базарова,3,bazarov,bazarova
386,Базилевичи,Базилевич,Базилевич,2,bazilevich,bazilevich
387,Базилевичи,Базилевич,Базилевич,2,bazilevich,bazilevich
388,Базилевичи,Базилевич,Базилевич,3,bazilevich,bazilevich
389,Базилевичи,Базилевич,Базилевич,6,bazilevich,bazilevich
390,Базилевские,Базилевский,Базилевская,1,bazilevsky,bazilevskaya
391,Базилевские,Базилевский,Базилевская,2,bazilevsky,bazilevskaya
392,Базилевские,Базилевский,Базилевская,3,bazilevsky,bazilevskaya
393,Базилевские,Базилевский,Базилевская,6,bazilevsky,bazilevskaya
394,Байбаковы,Байбаков,Байбакова,2,baybakov,baybakova
395,Байберины,Байберин,Байберина,6,bayberin,bayberina
396,Байер,Байер,Байер,3,bayer,bayer
397,Байко,Байко,Байко,2,bayko,bayko
398,Байковы,Байков,Байкова,2,baykov,baykova
399,Байковы,Байков,Байкова,3,baykov,baykova
400,Байковский,Байковский,Байковская,6,baykovsky,baykovskaya
401,Бакаревы,Бакарев,Бакарева,3,bakarev,bakareva
402,Бакареевы,Бакареев,Бакареева,3,bakareev,bakareeva
403,Бакеев,Бакеев,Бакеева,6,bakeev,bakeeva
404,Бакинцовы,Бакинцов,Бакинцова,2,bakintsov,bakintsova
405,Бакунины,Бакунин,Бакунина,6,bakunin,bakunina
406,Бакшеевы,Бакшеев,Бакшеева,2,baksheev,baksheeva
407,Балакшеевы,Балакшеев,Балакшеева,2,balaksheev,balaksheeva
408,Балахнины,Балахнин,Балахнина,3,balakhnin,balakhnina
409,Балахонцевы,Балахонцев,Балахонцева,3,balakhontsev,balakhontseva
410,Балашовы,Балашов,Балашова,1,balashov,balashova
411,Балашовы,Балашов,Балашова,3,balashov,balashova
412,Балашовы,Балашов,Балашова,3,balashov,balashova
413,Балашовы,Балашов,Балашова,3,balashov,balashova
414,Балашевы,Балашев,Балашева,1,balashev,balasheva
415,Балашевы,Балашев,Балашева,3,balashev,balasheva
416,Балашевы,Балашев,Балашева,3,balashev,balasheva
417,Балашевы,Балашев,Балашева,3,balashev,balasheva
418,Балдин,Балдин,Балдина,3,baldin,baldina
419,Балетюс,Балетюс,Балетюс,1,baletjus,baletjus
420,Бальтус?,Бальтус,Бальтус,1,baltus,baltus
421,Балк,Балк,Балк,3,balk,balk
422,Балк-Полевы,Балк-Полев,Балк-Полева,4,balk-polev,balk-poleva
423,Балк-Полевы,Балк-Полев,Балк-Полева,6,balk-polev,balk-poleva
424,Балкашины,Балкашин,Балкашина,6,balkashin,balkashina
425,Бальтус,Бальтус,Бальтус,1,baltus,baltus
426,Бальтус,Бальтус,Бальтус,2,baltus,baltus
427,Бальтус,Бальтус,Бальтус,4,baltus,baltus
428,Балюр,Балюр,Балюр,2,baljur,baljur
429,Банины,Банин,Банина,2,banin,banina
